id,type,size,,bp,bt,rbp,fh,drw
1,flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
2,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
3,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,
4,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,,
5,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,,
6,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,,
7,flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,,
8,flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,,
9,flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,,
10,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,,
11,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,,
12,flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,,
13,flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,,
14,flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,,
15,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,,
16,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,,
17,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,,
18,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,,
19,flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,,
20,flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,,
21,flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,,
22,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,,
23,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,,
24,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,,
25,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,,
26,flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,,
27,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,,
28,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,,
29,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,,
30,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,,
31,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,,
32,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,,
33,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,,
34,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,,
35,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,,
36,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,,
37,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,,
38,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,,
39,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,,
40,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,,
41,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,,
42,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,,
43,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,,
44,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,,
45,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,,
46,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,,
47,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,,
48,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,,
49,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,,
50,flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,,
51,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,,
52,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,,
53,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,,
54,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,,
55,flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,,
56,flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,,
57,flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,,
58,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,,
59,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,,
60,flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,,
61,flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,,
62,flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,,
63,flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,,
64,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,,
65,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,0.89,,
66,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.25,,
67,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.14,,
68,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,,
69,flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35,3.45,,
70,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.45,,
71,flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35,3.15,,
72,flat,24,s316:2.5_s316:0.6_ptfe:0.5,6,40,4.45,,
73,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,6.15,,
74,flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55,1.89,,
75,flat,24,s316L:2_s316L:0.6_ptfe:0.5,4,50,4.15,,
76,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,6.3,,
77,flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50,5.23,,
78,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.137,,
79,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.3,,
80,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.575,,
81,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.5,,
82,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.34,,
83,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.38,,
84,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.52,,
85,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,
86,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,
87,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.83,,
88,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.91,,
89,flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160,2.08,,
90,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.97,,
91,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.16,,
92,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,8.93,,
93,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.05,,
94,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.04,,
95,flat,24,s316:3_s316:1_ptfe:0.5,6,40,5.24,,
96,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.15,,
97,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.45,,
98,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.19,,
99,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,7.21,,
100,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,6.5,,
101,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,12,,
102,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,6.52,,
103,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,5.61,,
104,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,8.1,,
105,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.66,,
106,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.47,,
107,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.08,,
108,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.97,,
109,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75,0.8,,
110,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.3,,
111,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.65,,
112,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,7.01,,
113,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,8.2,,
114,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.1,,
115,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.72,,
116,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.33,,
117,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,4.4,,
118,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,2.57,,
119,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.21,,
120,flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35,3.18,,
121,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,3.16,,
122,flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35,2.98,,
