id,type,size,,bp,bt,rbp,fh,drw,,,,
1,flat,16,cs:3_cs:0.5_pvc:0.8,6,40,6.02,flat_16_cs:3_cs:0.5_pvc:0.8,,,cs:3_cs:0.5_pvc:0.8,flat_16_6,flat_16_6
2,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,,,s316L:2_s316L:0.5_tef:0.5,flat_24_6,flat_24_6
3,flat,24,cs:3_cs:0.5_pvc:0.8,6,40,6.02,,,,s316L:0.2_s316L:0.2_tef:0.1,flat_24_6,flat_3_2
4,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6.1,,,,s316L:0.2_s316L:0.3_tef:0.1,flat_24_6,flat_30_0.3
5,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,5.98,,,,s316L:0.2_s316L:0.4_tef:0.1,flat_24_6,flat_6_5.5
6,flat,24,s316L:2_s316L:0.5_tef:0.5,6,40,6,,,,s316L:0.6_s316L:0.3_ptfe:0.6,flat_24_6,flat_4_0.9
7,flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22,1.73,,,,s316L:0.6_s316L:0.5_tef:0.6,flat_3_2,flat_12_0.175
8,flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22,1.83,,,,s316L:0.6_s316L:0.25_tef:0.6,flat_3_2,flat_16_0.49
9,flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22,1.95,,,,s316L:0.6_s316L:0.3_tef:0.6,flat_3_2,flat_16_1.08
10,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.321,,,,s316L:0.6_s316L:0.2_tef:0.6,flat_30_0.3,flat_8_6
11,flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120,0.265,,,,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,flat_30_0.3,flat_6_2.5
12,flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20,4,,,,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,flat_6_5.5,flat_4_0.48
13,flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20,3.79,,,,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,flat_6_5.5,flat_24_5
14,flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20,5.85,,,,s316L:2.5_s316L:0.8_ptfe:0.5,flat_6_5.5,flat_14_1.1
15,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.81,,,,s316L:0.3_s316L:0.3_fep:0.2,flat_6_5.5,flat_24_3.25
16,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.6,,,,s316L:0.3_s316L:0.3_fep:0.1,flat_6_5.5,flat_4_2
17,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.92,,,,s316L:0.4_s316L:0.4_ptfe:0.3,flat_6_5.5,flat_24_4
18,flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20,5.94,,,,s316:0.3_aluminium:0.3_ptfe:1,flat_6_5.5,flat_6_0.4
19,flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60,0.57,,,,cs:1_cs:0.8_pvc:0.5,flat_4_0.9,flat_16_2
20,flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60,1.03,,,,cs:1.5_cs:0.8_pvc:0.5,flat_4_0.9,flat_10_2
21,flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60,0.76,,,,cs:3_cs:0.8_pvc:0.5,flat_4_0.9,flat_8_2
22,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.54,,,,s316:0.5_s316:0.5_tef:0.3,flat_24_6,flat_3_7.5
23,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,5.3,,,,s316:0.3_s316:0.5_ptfe:0.25,flat_24_6,flat_6_7.5
24,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.24,,,,s316:0.3_s316:0.5_ptfe:0.3,flat_24_6,flat_1_5
25,flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40,6.26,,,,s316:0.3_s316:0.5_ptfe:0.2,flat_24_6,flat_36_1
26,flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57,0.163,,,,s316:1_s316:0.5_ptfe:0.5,flat_12_0.175,flat_36_0.715
27,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.216,,,,s316:0.2_s316:0.5_ptfe:0.2,flat_12_0.175,flat_16_3
28,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.14,,,,s316:0.1_s316:0.5_ptfe:0.1,flat_12_0.175,flat_24_3.3
29,flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57,0.184,,,,s316:0.1_s316:0.1_ptfe:0.2,flat_12_0.175,flat_8_3.21
30,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.56,,,,s316:2_s316:0.5_fep:0.5,flat_16_0.49,flat_8_3.2
31,flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106,0.531,,,,s316:0.8_s316:0.4_ptfe:0.3,flat_16_0.49,flat_8_3.3
32,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.49,,,,s316:1.5_s316:0.2_ptfe:0.5,flat_16_1.08,flat_16_3.5
33,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.26,,,,s316:1.5_s316:0.5_ptfe:0.5,flat_16_1.08,flat_24_3.5
34,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,1.043,,,,s316:2.5_s316:0.6_ptfe:0.5,flat_16_1.08,flat_24_3
35,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.81,,,,s316L:0.3_s316L:0.3_ptfe:0.25,flat_16_1.08,flat_1_3.5
36,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.925,,,,s316L:2_s316L:0.6_ptfe:0.5,flat_16_1.08,flat_8_0.2
37,flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22,0.984,,,,s316:0.2_s316:0.2_ptfe:0.1,flat_16_1.08,flat_2_0.5
38,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,4.59,,,,s316:1_s316:1_ptfe:0.5,flat_8_6,forward_3_8.03
39,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.58,,,,s316:0.6_s316:0.6_ptfe:0.5,flat_8_6,forward_4_27.7
40,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,6.41,,,,s316:3_s316:1_ptfe:0.5,flat_8_6,forward_4_29.1
41,flat,8,cs:1_cs:0.8_pvc:0.5,6,40,5.73,,,,s316:0.5_s316:0.5_ptfe:0.3,flat_8_6,forward_3_4.6
42,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,4,,,,s316:0.6_inconel:0.42_ptfe:0.25,flat_16_6,forward_1_5
43,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,6.19,,,,s316:1_inconel:0.8_ptfe:0.3,flat_16_6,forward_4_115
44,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.93,,,,s316:0.1_s316:0.1_ptfe:0.1,flat_16_6,forward_4_75
45,flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40,5.63,,,,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,flat_16_6,forward_1_2.5
46,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,4.85,,,,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,flat_24_6,forward_1_7
47,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.13,,,,s316:0.5_s316:1.5_tef:0.5,flat_24_6,forward_3_1
48,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.3,,,,s316:0.5_s316:0.5_tef:0.5,flat_24_6,forward_1_10
49,flat,24,cs:3_cs:0.8_pvc:0.5,6,40,6.09,,,,s316:0.5_s316:1_tef:0.5,flat_24_6,forward_1.5_10
50,flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22,2.45,,,,s316:0.1_s316:0.1_s316:0.5_tef:0.1,flat_6_2.5,forward_3_3.3
51,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.193,,,,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,flat_4_0.48,forward_4_3.3
52,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.68,,,,s316:2_s316:0.5_tef:0.5,flat_4_0.48,forward_16_0.5
53,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.459,,,,s316:2_s316:0.5_tef:1.5,flat_4_0.48,forward_4_17.2
54,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.62,,,,s316:3_s316:0.5_tef:0.5,flat_4_0.48,forward_6_2.35
55,flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188,0.7,,,,s316:0.1_s316:0.1_plastic:0.05,flat_4_0.48,forward_4_8.4
56,flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188,0.6,,,,s316:0.5_s316:0.5_tef:0.2,flat_4_0.48,forward_2_3.25
57,flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188,10.76,,,,S316:0.4_nickel:0.25_tef:0.3,flat_4_0.48,forward_12_16.17
58,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,1.43,,,,S316:0.05_nickel:0.25_tef:0.4,flat_4_0.48,forward_1.5_2
59,flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188,0.92,,,,S316:0.05_nickel:0.25_tef:0.2,flat_4_0.48,forward_2_3
60,flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188,1.45,,,,S316:0.05_nickel:0.25_tef:0.3,flat_4_0.48,forward_3_3
61,flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188,0.8,,,,inconel:1_s316L:0.05_tef:0.3,flat_4_0.48,forward_0.5_248
62,flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188,0.7,,,,inconel:1_s316L:0.05_tef:0.05,flat_4_0.48,forward_4_10
63,flat,24,s316:2_s316:0.5_fep:0.5,5,40,7.44,,,,inconel:1_s316L:0.05_tef:0.2,flat_24_5,forward_12_3.5
64,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,2.27,,,,s316L:0.2_s316L:0.1_tef:0.3,flat_14_1.1,forward_1.5_3.3
65,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,0.89,,,,s316L:0.2_s316L:0.1_tef:0.4,flat_14_1.1,forward_1.5_204
66,flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70,1.25,,,,s316L:0.2_s316L:0.1_tef:0.2,flat_14_1.1,forward_3_3.25
